playlist_uri,owner,streams,stream30s,dau,wau,mau,mau_previous_month,mau_both_months,users,skippers,owner_country,n_tracks,n_local_tracks,n_artists,n_albums,monthly_stream30s,monthly_owner_stream30s,token_1,token_2,token_3,genre_1,genre_2,genre_3,mood_1,mood_2,mood_3,trending,hot,rising,skip,change_rate,rank,tier
spotify:user:spotify:playlist:04MJzJlzOoy5bTytJwDsVL,spotify,252309,124903,16480,68518,278966,448102,75371,917174,11888,US,296,0,1,1,4178965,8,dance,mega,mix,Dance & House,Electronica,Pop,Excited,Aggressive,Energizing,0.05907529949886366,0.24561416086548182,0.38368625768153736,0.012961553641947983,0,19,Top 100
spotify:user:spotify:playlist:0Sb1hi1Qh0W6LuGiifPJYv,spotify,18643,13690,1392,8977,45872,68920,9261,138393,940,US,47,0,47,47,757313,0,summer,country,NA,Country & Folk,Pop,Spoken & Audio,Upbeat,Yearning,Rowdy,0.030345308685036623,0.19569672131147542,0.3996097289009687,0.006792251053160203,0,101,Top 101-500
spotify:user:spotify:playlist:4Xh0WM8n9cQ1Pfl6HqLWbD,spotify,5381,4123,376,2197,8906,12380,1813,27271,233,US,87,0,79,86,154812,0,back,porch,NA,Rock,Indie Rock,Country & Folk,Gritty,Upbeat,Yearning,0.04221872894677745,0.24668762631933527,0.4183970684957249,0.00854387444538154,0,269,Top 101-500
spotify:user:bdab36c0e3f54061edc3c220d92e978e:playlist:3nSrfYLMu57IlNYDpsQ2QL,bdab36c0e3f54061edc3c220d92e978e,7704,3174,595,3353,8520,7284,951,24492,624,US,30,0,29,29,69301,0,instant,energizer,NA,Dance & House,Pop,Electronica,Excited,Energizing,Aggressive,0.0698356807511737,0.39354460093896715,0.5391040242976461,0.025477707006369428,0,391,Top 101-500
spotify:user:spotify:playlist:7JNPDieyce4ZZTBYlTGa6f,spotify,53712,27407,3648,31180,135404,161146,24972,384247,3019,US,50,0,48,50,1573129,1,workout,NA,NA,Pop,R&B,Dance & House,Excited,Energizing,Defiant,0.026941596998611563,0.230273847153703,0.45659753835778116,0.007856925363112789,0,60,Top 100
spotify:user:spotify:playlist:3jvtjbhswlSuYQSVBQVxva,spotify,4012,3203,289,2075,6599,6517,936,17960,215,US,100,0,1,1,103868,0,downtempo,beats,NA,Electronica,R&B,Alternative,Brooding,Excited,Sensual,0.04379451432035157,0.3144415820578876,0.5031259530344617,0.011971046770601337,0,333,Top 101-500
spotify:user:spotify:playlist:5yolys8XG4q7YfjYGl5Lff,spotify,579318,265613,28303,119724,339484,428039,114558,816966,15803,US,402,0,189,159,7607014,3,hip,hop,monsters,Rap,R&B,Pop,Defiant,Cool,Energizing,0.08337064486102438,0.3526646322065252,0.44231117503970563,0.019343522251844016,0,7,Top 100
spotify:user:spotify:playlist:1Mnd1t9rxbeugYXfyp5J3w,spotify,4157,3104,499,3541,11482,9097,1273,29476,377,US,18,0,18,18,112550,0,keep,calm,stretch,Indie Rock,Alternative,Pop,Gritty,Empowering,Sensual,0.04345932764326772,0.30839574986936075,0.5579474221293552,0.01279006649477541,0,315,Top 101-500
spotify:user:092c607083b1f61baf1b77781a39a51b:playlist:5IPfK17zBMnr8jcFIqUCTw,092c607083b1f61baf1b77781a39a51b,10309,3253,335,1460,4208,3674,779,8269,214,US,588,0,482,463,85226,26,throwback,NA,NA,Rap,Pop,R&B,Defiant,Energizing,Cool,0.07961026615969581,0.34695817490494296,0.5338746511037807,0.025879791994195187,0,361,Top 101-500
spotify:user:spotify:playlist:2SSEozHbLRKueJBM7LAlAo,spotify,111622,59863,5496,39830,108444,79091,18282,218417,3907,US,126,0,116,121,2404015,5,workday,pop,NA,Pop,Dance & House,Indie Rock,Excited,Energizing,Defiant,0.050680535575965475,0.3672863413374645,0.5782600581224838,0.017887801773671462,0,38,Top 100
spotify:user:spotify:playlist:5sA4TM4uZQ3xGxtRQVzmFN,spotify,18465,8604,981,5419,18661,17123,2777,43915,786,US,300,9,246,260,280827,0,vampire,diaries,NA,Indie Rock,Alternative,Pop,Brooding,Urgent,Yearning,0.052569530035903755,0.2903917260596967,0.5214900514196289,0.017898212455880677,0.03,190,Top 101-500
spotify:user:spotify:playlist:1cpQtnx4Fk5hwU4EsUMApE,spotify,2980,2117,326,2005,7860,10026,1487,27164,267,US,32,0,31,30,76004,0,om,NA,NA,Pop,Indie Rock,New Age,Sensual,Melancholy,Brooding,0.04147582697201018,0.255089058524173,0.43944984904394496,0.009829185686938595,0,375,Top 101-500
spotify:user:spotify:playlist:1KP2q2C8JHXsbw0etowlut,spotify,5340,3977,416,1958,9943,18738,1623,46264,420,US,54,0,27,27,127952,0,cocktails,dreams,NA,Indie Rock,Alternative,Electronica,Excited,Brooding,Yearning,0.0418384793321935,0.19692245801066077,0.34667549945957254,0.009078333045132284,0,297,Top 101-500
spotify:user:spotify:playlist:50G389xO54d638AbMIa2JU,spotify,3065,2421,299,1968,5029,3813,789,9530,138,US,72,0,24,29,74150,0,best,live,worship,Religious,Indie Rock,Pop,Upbeat,Brooding,Empowering,0.05945516007158481,0.39133028435076556,0.5687627233657544,0.014480587618048268,0,379,Top 101-500
spotify:user:a19ebea5b5c28f3eff7f45167f7f3b1c:playlist:6pVRs6mFoJJniARwBuComR,a19ebea5b5c28f3eff7f45167f7f3b1c,3605,1760,217,1274,4501,4142,431,11522,148,US,53,0,51,53,62897,8,feel,good,music,Pop,Indie Rock,Dance & House,Excited,Energizing,Yearning,0.04821150855365474,0.28304821150855364,0.5207682517644336,0.012844992188856102,0,415,Top 101-500
spotify:user:spotify:playlist:0D7azfSL3Uq1ZR75Q9JeLi,spotify,4323,2989,403,2047,9345,7518,827,21656,340,US,30,0,30,30,92458,0,country,gals,NA,Country & Folk,Pop,Soundtrack,Yearning,Upbeat,Easygoing,0.04312466559657571,0.21904761904761905,0.5541718555417185,0.01570003694126339,0,351,Top 101-500
spotify:user:spotify:playlist:103Zi2NG06F9qimASDrszv,spotify,306687,169082,19631,76700,266495,334421,51796,731904,13632,US,81,0,77,77,3599989,0,summer,party,NA,Dance & House,Rap,Pop,Excited,Defiant,Aggressive,0.07366367098819865,0.2878102778663765,0.44348128523787017,0.018625393494228752,0,22,Top 100
spotify:user:spotify:playlist:5HEiuySFNy9YKjZTvNn6ox,spotify,11034,8622,836,5002,16085,13928,1793,40485,673,US,64,0,48,57,277273,0,collected,NA,NA,Alternative,Indie Rock,Electronica,Yearning,Sensual,Excited,0.05197388871619521,0.31097295617034504,0.5359344284143538,0.016623440780536,0,191,Top 101-500
spotify:user:spotify:playlist:2dcOG6Snw5DbCvGVr1V03p,spotify,49528,34670,3137,24501,59756,38759,7938,115873,1722,US,208,0,96,103,955792,3,evening,commute,NA,Indie Rock,Alternative,Pop,Yearning,Brooding,Sensual,0.052496820402972086,0.4100174041100475,0.6065675277876466,0.014861097926177798,0,84,Top 100
spotify:user:eb4396c92576848dea5f95310e3f4e79:playlist:4KrGpst5rzqstTwENK57cB,eb4396c92576848dea5f95310e3f4e79,9233,8505,344,1410,4328,4725,1187,9276,117,US,1104,0,762,135,232252,6,cafe,mar,hotel,Dance & House,Electronica,Easy Listening,Sensual,Yearning,Brooding,0.07948243992606285,0.3257855822550832,0.47807356677344526,0.012613195342820181,0,212,Top 101-500
spotify:user:cb305f632c793f009882083e9e75f5b0:playlist:4FzLms9h928aX5UaHgoXHv,cb305f632c793f009882083e9e75f5b0,2993,1452,218,1756,10068,1356,423,14390,231,US,68,0,62,64,139232,42,artists,watch,updated,Indie Rock,Alternative,Pop,Defiant,Energizing,Urgent,0.021652761223678985,0.1744139849026619,0.8813025210084033,0.01605281445448228,0,289,Top 101-500
spotify:user:spotify:playlist:49rhYazWkqe8Ojb5n2NRQI,spotify,12488,7986,841,4984,24426,26445,3551,64404,590,US,194,0,80,85,359029,3,edge,alternative,NA,Alternative,Metal,Punk,Defiant,Urgent,Aggressive,0.034430524850569064,0.2040448702202571,0.48015568791649466,0.009160921681883113,0,165,Top 101-500
spotify:user:spotify:playlist:4Y9Iyja770v1QcWMumgupt,spotify,9515,7543,908,8129,15939,3563,420,25874,594,US,40,0,36,40,216333,0,electropositivity,NA,NA,Electronica,Dance & House,Indie Rock,Sensual,Aggressive,Brooding,0.05696718740197001,0.51000690131124915,0.8173007896625987,0.02295740898198964,0,227,Top 101-500
spotify:user:spotify:playlist:5tnBjatmVR3VtfVMOpS87h,spotify,29288,23786,2544,11161,34602,26481,2956,90214,1981,US,66,0,64,66,428293,2,calm,NA,NA,Indie Rock,Rock,Alternative,Melancholy,Yearning,Sentimental,0.07352176174787585,0.32255360961794116,0.5664751240115908,0.021958897732059324,0,149,Top 101-500
